Date,Open,High,Low,Close,Adj Close,Volume
"Feb 22, 2021",3885.55,3928.65,3789.54,3811.15,3811.15,31300040000
"Feb 15, 2021",3939.61,3950.43,3885.03,3906.71,3906.71,19428610000
"Feb 08, 2021",3892.59,3937.23,3884.94,3934.83,3934.83,22779770000
"Feb 01, 2021",3731.17,3894.56,3725.62,3886.83,3886.83,25573900000
"Jan 25, 2021",3851.68,3870.9,3694.12,3714.24,3714.24,36751000000
"Jan 18, 2021",3781.88,3861.45,3780.37,3841.47,3841.47,19193280000
"Jan 11, 2021",3803.14,3823.6,3749.62,3768.25,3768.25,24631190000
"Jan 04, 2021",3764.61,3826.69,3662.71,3824.68,3824.68,25542330000
"Dec 28, 2020",3723.03,3760.2,3723.03,3756.07,3756.07,13262640000
"Dec 21, 2020",3684.28,3711.24,3636.48,3703.06,3703.06,14464830000
"Dec 14, 2020",3675.27,3726.7,3645.84,3709.41,3709.41,24367880000
"Dec 07, 2020",3694.73,3712.39,3633.4,3663.46,3663.46,23655640000
"Nov 30, 2020",3634.18,3699.2,3594.39,3699.12,3699.12,26933100000
"Nov 23, 2020",3566.82,3644.31,3552.77,3638.35,3638.35,19026670000
"Nov 16, 2020",3600.16,3628.51,3543.84,3557.54,3557.54,23992240000
"Nov 09, 2020",3583.04,3645.99,3511.91,3585.15,3585.15,28872780000
"Nov 02, 2020",3296.2,3529.05,3279.74,3509.44,3509.44,23047080000
"Oct 25, 2020",3441.42,3441.42,3233.94,3269.96,3269.96,22860370000
"Oct 18, 2020",3493.66,3502.42,3415.34,3465.39,3465.39,19936550000
"Oct 11, 2020",3500.02,3549.85,3440.89,3483.81,3483.81,19317950000
"Oct 04, 2020",3367.27,3482.34,3354.54,3477.14,3477.14,19772590000
"Sep 27, 2020",3333.9,3397.18,3323.69,3348.42,3348.42,20402660000
"Sep 20, 2020",3285.57,3323.35,3209.45,3298.46,3298.46,21594480000
"Sep 13, 2020",3363.56,3428.92,3292.4,3319.47,3319.47,24071910000
