Date	Open	High	Low	Close	Adj Close	Volume
Sep 06, 2020	3,371.88	3,425.55	3,310.47	3,340.97	3,340.97	16,545,570,000
Aug 30, 2020	3,509.73	3,588.11	3,349.63	3,426.96	3,426.96	22,095,960,000
Aug 23, 2020	3,418.09	3,509.23	3,413.13	3,508.01	3,508.01	18,975,990,000
Aug 16, 2020	3,380.86	3,399.96	3,354.69	3,397.16	3,397.16	17,745,410,000
Aug 09, 2020	3,356.04	3,387.89	3,326.44	3,372.85	3,372.85	19,619,500,000
Aug 02, 2020	3,288.26	3,352.54	3,284.53	3,351.28	3,351.28	21,777,340,000
Jul 26, 2020	3,219.84	3,272.17	3,204.13	3,271.12	3,271.12	21,774,140,000
Jul 19, 2020	3,224.29	3,279.99	3,200.05	3,215.63	3,215.63	20,789,280,000
Jul 12, 2020	3,205.08	3,238.28	3,127.66	3,224.73	3,224.73	22,082,120,000
Jul 05, 2020	3,155.29	3,186.82	3,115.70	3,185.04	3,185.04	23,635,640,000
Jun 28, 2020	3,018.59	3,165.81	2,999.74	3,130.01	3,130.01	17,826,770,000
Jun 21, 2020	3,094.42	3,154.90	3,004.63	3,009.05	3,009.05	27,951,760,000
Jun 14, 2020	2,993.76	3,155.53	2,965.66	3,097.74	3,097.74	28,959,080,000
Jun 07, 2020	3,199.92	3,233.13	2,984.47	3,041.31	3,041.31	34,390,750,000
May 31, 2020	3,038.78	3,211.72	3,031.54	3,193.93	3,193.93	30,977,470,000
May 24, 2020	3,004.08	3,068.67	2,969.75	3,044.31	3,044.31	24,991,070,000
May 17, 2020	2,913.86	2,980.29	2,913.86	2,955.45	2,955.45	25,310,860,000
May 10, 2020	2,915.46	2,945.82	2,766.64	2,863.70	2,863.70	27,249,840,000
May 03, 2020	2,815.01	2,932.16	2,797.85	2,929.80	2,929.80	24,823,610,000
Apr 26, 2020	2,854.65	2,954.86	2,821.61	2,830.71	2,830.71	28,845,520,000
Apr 19, 2020	2,845.62	2,868.98	2,727.10	2,836.74	2,836.74	26,590,900,000
Apr 12, 2020	2,782.46	2,879.22	2,721.17	2,874.56	2,874.56	27,176,880,000
Apr 05, 2020	2,578.28	2,818.57	2,574.57	2,789.82	2,789.82	27,229,510,000
Mar 29, 2020	2,558.98	2,641.39	2,447.49	2,488.65	2,488.65	30,852,490,000
Mar 22, 2020	2,290.71	2,637.01	2,191.86	2,541.47	2,541.47	37,243,200,000
Mar 15, 2020	2,508.59	2,562.98	2,280.52	2,304.92	2,304.92	41,985,050,000
Mar 08, 2020	2,863.89	2,882.59	2,478.86	2,711.02	2,711.02	40,664,410,000
Mar 02, 2020	2,974.28	3,136.72	2,901.54	2,972.37	2,972.37	29,965,390,000
Feb 24, 2020	3,257.61	3,259.81	2,855.84	2,954.22	2,954.22	31,566,850,000
Feb 17, 2020	3,369.04	3,393.52	3,328.45	3,337.75	3,337.75	15,292,560,000
Feb 10, 2020	3,318.28	3,385.09	3,317.77	3,380.16	3,380.16	18,077,170,000
Feb 03, 2020	3,235.66	3,347.96	3,235.66	3,327.71	3,327.71	19,500,010,000
Jan 27, 2020	3,247.16	3,293.47	3,214.68	3,225.52	3,225.52	19,282,920,000
Jan 20, 2020	3,321.03	3,337.77	3,281.53	3,295.47	3,295.47	15,204,110,000
Jan 13, 2020	3,271.13	3,329.88	3,268.43	3,329.62	3,329.62	18,135,300,000
Jan 06, 2020	3,217.55	3,282.99	3,214.64	3,265.35	3,265.35	17,721,020,000
Dec 30, 2019	3,240.09	3,258.14	3,212.03	3,234.85	3,234.85	12,861,110,000
Dec 23, 2019	3,226.05	3,247.93	3,220.51	3,240.02	3,240.02	8,954,750,000
Dec 16, 2019	3,183.63	3,225.65	3,183.63	3,221.22	3,221.22	22,184,930,000
Dec 09, 2019	3,141.86	3,182.68	3,126.09	3,168.80	3,168.80	17,765,280,000
Dec 02, 2019	3,143.85	3,150.60	3,070.33	3,145.91	3,145.91	17,504,100,000
Nov 25, 2019	3,117.44	3,154.26	3,117.44	3,140.98	3,140.98	12,893,650,000
Nov 18, 2019	3,117.91	3,127.64	3,091.41	3,110.29	3,110.29	18,074,100,000
Nov 11, 2019	3,080.33	3,120.46	3,075.82	3,120.46	3,120.46	16,692,290,000
Nov 04, 2019	3,078.96	3,097.77	3,065.89	3,093.08	3,093.08	20,794,290,000
Oct 27, 2019	3,032.12	3,066.95	3,023.19	3,066.91	3,066.91	19,004,660,000
Oct 20, 2019	2,996.48	3,027.39	2,991.21	3,022.55	3,022.55	17,288,670,000
Oct 13, 2019	2,965.81	3,008.29	2,962.94	2,986.20	2,986.20	15,507,120,000
Oct 06, 2019	2,944.23	2,993.28	2,892.66	2,970.27	2,970.27	15,880,820,000
Sep 29, 2019	2,967.07	2,992.53	2,855.94	2,952.01	2,952.01	17,244,790,000
Sep 22, 2019	2,983.50	3,007.98	2,945.53	2,961.79	2,961.79	16,722,640,000
Sep 15, 2019	2,996.41	3,021.99	2,978.57	2,992.07	2,992.07	20,787,010,000
Sep 08, 2019	2,988.43	3,020.74	2,957.01	3,007.39	3,007.39	19,712,530,000
Sep 01, 2019	2,909.01	2,985.86	2,891.85	2,978.71	2,978.71	13,707,670,000
Aug 25, 2019	2,866.70	2,940.43	2,853.05	2,926.46	2,926.46	15,686,820,000
Aug 18, 2019	2,913.48	2,939.08	2,834.97	2,847.11	2,847.11	16,141,480,000
Aug 11, 2019	2,907.07	2,943.31	2,825.51	2,888.68	2,888.68	19,076,710,000
Aug 04, 2019	2,898.07	2,938.72	2,822.12	2,918.65	2,918.65	20,687,590,000
Jul 28, 2019	3,024.47	3,025.61	2,914.11	2,932.05	2,932.05	20,160,210,000
Jul 21, 2019	2,981.93	3,027.98	2,976.65	3,025.86	3,025.86	16,700,450,000
Jul 14, 2019	3,017.80	3,017.80	2,973.09	2,976.61	2,976.61	16,014,490,000
Jul 07, 2019	2,979.77	3,013.92	2,963.44	3,013.77	3,013.77	15,253,340,000
Jun 30, 2019	2,971.41	2,995.84	2,952.22	2,990.41	2,990.41	11,147,600,000
Jun 23, 2019	2,951.42	2,954.92	2,912.99	2,941.76	2,941.76	18,812,890,000
Jun 16, 2019	2,889.75	2,964.15	2,887.30	2,950.46	2,950.46	18,516,760,000
Jun 09, 2019	2,885.83	2,910.61	2,874.68	2,886.98	2,886.98	15,894,210,000
Jun 02, 2019	2,751.53	2,884.97	2,728.81	2,873.34	2,873.34	18,026,770,000
May 26, 2019	2,830.03	2,840.51	2,750.52	2,752.06	2,752.06	15,106,790,000
May 19, 2019	2,841.94	2,868.88	2,805.49	2,826.06	2,826.06	16,499,350,000
May 12, 2019	2,840.19	2,892.15	2,801.43	2,859.53	2,859.53	17,050,540,000
May 05, 2019	2,908.89	2,937.32	2,825.39	2,881.40	2,881.40	17,765,260,000
Apr 28, 2019	2,940.58	2,954.13	2,900.50	2,945.64	2,945.64	17,918,950,000
Apr 21, 2019	2,898.78	2,939.88	2,896.35	2,939.88	2,939.88	16,857,490,000
Apr 14, 2019	2,908.32	2,918.00	2,891.90	2,905.03	2,905.03	13,672,850,000
Apr 07, 2019	2,888.46	2,910.54	2,873.33	2,907.41	2,907.41	15,877,870,000
Mar 31, 2019	2,848.63	2,893.24	2,848.63	2,892.74	2,892.74	16,592,010,000
Mar 24, 2019	2,796.01	2,836.03	2,785.02	2,834.40	2,834.40	17,055,060,000
Mar 17, 2019	2,822.61	2,860.31	2,800.47	2,800.71	2,800.71	18,917,020,000
Mar 10, 2019	2,747.61	2,830.73	2,747.61	2,822.48	2,822.48	20,454,890,000
Mar 04, 2019	2,814.37	2,816.88	2,722.27	2,743.07	2,743.07	18,737,740,000
Feb 25, 2019	2,804.35	2,813.49	2,775.13	2,803.69	2,803.69	19,748,980,000
Feb 18, 2019	2,769.28	2,794.20	2,764.55	2,792.67	2,792.67	14,467,710,000
Feb 11, 2019	2,712.40	2,775.66	2,703.79	2,775.60	2,775.60	18,417,330,000
Feb 04, 2019	2,706.49	2,738.98	2,681.83	2,707.88	2,707.88	18,217,210,000
Jan 28, 2019	2,644.89	2,716.66	2,631.05	2,706.53	2,706.53	16,137,630,000
